station_id,eva,gtfs_name,db_name,method,score
de:08327:1896,08006625,Wurmlingen Mitte,Wurmlingen Mitte,timetable,1.0
de:08327:2017,08006626,Wurmlingen Nord,Wurmlingen Nord,timetable,1.0
de:08327:1869,08006281,Weilheim Bahnhof,Weilheim,timetable,1.0
de:08327:3000,08000787,Balgheim Bahnhof,Balgheim,timetable,1.0
de:08325:20523,08005200,Rottweil Göllsdorf Bahnhof,Rottweil Göllsdorf,timetable,1.0
de:08327:1763,08079056,Tuttlingen Zentrum,Tuttlingen Zentrum,timetable,1.0
de:08327:1773,08000456,Tuttlingen Nord,Tuttlingen Nord,timetable,1.0
de:08327:1371,08004235,Nendingen Bahnhof,Nendingen (b Tuttlingen),timetable,1.0
de:08327:1554,08005723,Stetten (Donau) Bahnhof,Stetten (Donau),timetable,1.0
de:08327:1353,08004111,Mühlheim (Donau) Bahnhof,Mühlheim (b Tuttlingen),timetable,1.0
de:08327:1172,08002096,Fridingen Bahnhof,Fridingen (b Tuttlingen),timetable,1.0
de:08437:44005,08002656,Hausen i.T. Bahnhof,Hausen i Tal,timetable,1.0
de:08437:44000,08000933,Beuron Bahnhof,Beuron,timetable,1.0
de:08211:35110,08000771,Baden-Baden Haueneberstein,Baden-Baden Haueneberstein,timetable,1.0
de:08216:35111,08005588,Sinzheim (b. Bühl) Nord,Sinzheim Nord,timetable,1.0
de:08216:35112_Parent,08005587,Sinzheim (b. Bühl),Sinzheim,timetable,1.0
de:08211:35113_Parent,08000775,Baden-Baden Rebland,Baden-Baden Rebland,timetable,1.0
de:09775:4903_Parent,08005983,Unterelchingen Bahnhof,Unterelchingen,timetable,1.0
de:09775:4911,08004525,Oberelchingen,Oberelchingen,timetable,1.0
de:08421:1056,08005952,Ulm Ost,Ulm Ost,timetable,1.0
de:08436:1145_Parent,08000763,Bad Waldsee Bahnhof,Bad Waldsee,timetable,1.0
de:08436:32000,08000562,Alttann Bahnhof,Alttann,timetable,1.0
de:08436:32006,08006545,Wolfegg Bahnhof,Wolfegg,timetable,1.0
de:08416:12001,08005918,Tübingen Lustnau Bahnhof,Tübingen-Lustnau,timetable,1.0
de:08416:2002_Parent,08003272,K'furt Bahnhof,Kirchentellinsfurt,timetable,1.0
de:08415:22003_Parent,08006203,Wannweil Bahnhof,Wannweil,timetable,1.0
de:08415:22004_Parent,08005053,Betzingen Bahnhof,Reutlingen-Betzingen,timetable,1.0
de:08415:22005_Parent,08005052,Reutlingen Westbahnhof,Reutlingen West,timetable,1.0
de:08416:2106_Parent,08001047,Bodelshausen Bahnhof,Bodelshausen,timetable,1.0
de:08416:4456_Parent,08000750,Belsen Bahnhof,Bad Sebastiansweiler-Belsen,timetable,1.0
de:08416:2103_Parent,08004229,Nehren Bahnhof,Nehren,timetable,1.0
de:08416:2102_Parent,08001617,Dußlingen Bahnhof,Dußlingen,timetable,1.0
de:08416:12101,08005917,Tübingen Derendingen Bhf,Tübingen-Derendingen,timetable,1.0
de:08417:30752,08001794,Engstlatt Bahnhof,Engstlatt,timetable,1.0
de:08417:32113,08000788,Balingen Süd,Balingen Süd,timetable,1.0
de:08417:32200,08002133,Frommern Bahnhof,Frommern,timetable,1.0
de:08417:32115,08000474,Laufen Bahnhof,Albstadt-Laufen Ort,timetable,1.0
de:08417:32116,08000475,Albstadt-Lautlingen,Albstadt-Lautlingen,timetable,1.0
de:08417:47604_Parent,08079089,Ebingen West,Albstadt-Ebingen West,timetable,1.0
de:08215:1863_Parent,08004032,Bad Schönborn-Kronau,Bad Schönborn Kronau,timetable,1.0
de:08226:3806_Parent,08005181,"Rot-Malsch, Bahnhof",Rot-Malsch,timetable,1.0
de:08235:697,08004202,"Nagold-Iselshausen, Bf",Nagold-Iselshausen,timetable,1.0
de:08235:10426,08004195,"Nagold-Steinberg, Bf",Nagold-Steinberg,timetable,1.0
de:08235:10446,08004201,"Nagold Stadtmitte, Bf",Nagold Stadtmitte,timetable,1.0
de:08235:10168,08004196,"Nagold, Bahnhof",Nagold,timetable,1.0
de:08235:9050_Parent,08006432,"Wildberg, Bahnhof",Wildberg (Württ),timetable,1.0
de:08235:7190_Parent,08000757,Bad Teinach-Neubulach Bahnhof,Bad Teinach-Neubulach,timetable,1.0
de:08235:9030_Parent,08000063,"Calw, Bahnhof/ZOB",Calw,timetable,1.0
de:08235:9020,08002852,"Hirsau, Bahnhof",Hirsau,timetable,1.0
de:08235:4150_Parent,08000721,"Bad Liebenzell, Bahnhof",Bad Liebenzell,timetable,1.0
de:08236:5691,08004077,Monbach-Neuhausen,Monbach-Neuhausen,timetable,1.0
de:08235:9000,08006008,"Unterreichenbach, Bahnhof",Unterreichenbach,timetable,1.0
de:08231:332,08004801,Weißenstein,Pforzheim-Weißenstein,timetable,1.0
de:08115:1303_Parent,08006271,Weil der Stadt,Weil der Stadt,timetable,1.0
de:08115:7302_Parent,08000313,Renningen,Renningen,timetable,1.0
de:08127:21002_Parent,08001651,Eckartshausen Bahnhof,Eckartshausen-Ilshofen,timetable,1.0
de:08127:20015_Parent,08000330,Hessental Bahnhof,Schwäbisch Hall-Hessental,timetable,1.0
de:08127:20013,08005449,Schwäbisch Hall Bahnhof,Schwäbisch Hall,timetable,1.0
de:08127:20732,08006135,Wackershofen Bahnhof (Freilandmuseum),Wackershofen-Freilandmuseum,timetable,1.0
de:08126:11951_Parent,08006154,Waldenburg(Württ),Waldenburg (Württ),timetable,1.0
de:08126:10902,08004276,Neuenstein,Neuenstein,timetable,1.0
